concept;feature
accordion;has keys
accordion;is a musical instrument
accordion;does make music
accordion;is noisy_loud
accordion;has buttons
accordion;is played_does play
accordion;does make sound_a noise
accordion;made of wood
accordion;has bellows
accordion;is a squeeze box
accordion;is used in busking
accordion;is used in folk music
accordion;made of metal
accordion;is hard to play
accordion;is unusual
accordion;does compress and expand
accordion;does use air
accordion;has a handle_handles
accordion;has a strap_straps
accordion;is black and white
accordion;is handheld
accordion;is old fashioned
accordion;does play notes
accordion;is French
accordion;is heavy
accordion;made of leather
accordion;made of plastic
aeroplane;does fly
aeroplane;has wings
aeroplane;made of metal
aeroplane;does carry_transport people
aeroplane;does carry_transport
aeroplane;has an engine
aeroplane;is big_large
aeroplane;made of aluminium
aeroplane;has a pilot
aeroplane;has a seat_seats
aeroplane;has wheels
aeroplane;is transport
aeroplane;does fly in the sky
aeroplane;has windows
aeroplane;does travel to countries
aeroplane;has a cockpit
aeroplane;is expensive
aeroplane;is fast
aeroplane;does land
aeroplane;does pollute
aeroplane;does travel
aeroplane;has a tail
aeroplane;is aerodynamic_streamlined
aeroplane;is flown
aeroplane;is found in airports
aeroplane;is white
aeroplane;does carry_transport goods
aeroplane;has a luggage area
aeroplane;has a nose
aeroplane;has a propeller
aeroplane;has technology_is technological
aeroplane;has two wings
aeroplane;is a vehicle
aeroplane;is for holidays
aeroplane;is heavy
aeroplane;is manmade
aeroplane;is modern
aeroplane;is noisy_loud
aeroplane;is used in army_military
aeroplane;made of light metal
alligator;has teeth
alligator;does live in water
alligator;has scales
alligator;has a tail
alligator;is a reptile
alligator;is green
alligator;has sharp teeth
alligator;is like a crocodile
alligator;is an animal
alligator;does swim
alligator;has a long tail
alligator;has lots of teeth
alligator;is dangerous
alligator;has legs
alligator;is a carnivore_eats meat
alligator;has eyes
alligator;has jaws
alligator;has short legs
alligator;does eat
alligator;does lay eggs
alligator;has a big mouth
alligator;has a mouth
alligator;is a predator
alligator;is big_large
alligator;does bite
alligator;does kill people
alligator;has a nose
alligator;has a strong tail
alligator;has big jaws
alligator;has big teeth
alligator;has claws
alligator;is scary
alligator;does eat animals
alligator;does hunt
alligator;does kill
alligator;does live in Florida
alligator;has a long nose
alligator;has four legs
alligator;has skin
alligator;is aggressive
alligator;is found in America
alligator;is long
alligator;does breathe
alligator;does move
alligator;has a belly
alligator;is brown
alligator;is cold blooded
alligator;is fast
alligator;is found in freshwater
alligator;is hunted for skin
alligator;is stealthy
alligator;does bask in the sun
alligator;does drag prey
alligator;does drown prey
alligator;does eat fish
alligator;does hide
alligator;does kill prey
alligator;does live in rivers
alligator;does live in swamps
alligator;does live on land
alligator;has a crushing bite
alligator;has a white belly
alligator;has feet
alligator;has glaring eyes
alligator;has powerful jaws
alligator;has small feet
alligator;has thick scales
alligator;has thick skin
alligator;has yellow eyes
alligator;is an amphibian
alligator;is camouflaged
alligator;is endangered
alligator;is found in zoos
alligator;is killed
alligator;is slow
alligator;is wild
ambulance;has a siren
ambulance;is a vehicle
ambulance;has wheels
ambulance;is used in emergencies
ambulance;has lights
ambulance;has paramedics
ambulance;is fast
ambulance;does go to hospital
ambulance;has flashing lights
ambulance;has medical equipment
ambulance;is an emergency vehicle
ambulance;is used to rescue
ambulance;is white
ambulance;made of metal
ambulance;has four wheels
ambulance;is for patients
ambulance;has blue lights
ambulance;has equipment
ambulance;is noisy_loud
ambulance;does carry_transport
ambulance;does drive_is driven
ambulance;does go through red lights
ambulance;is important
ambulance;does rush
ambulance;has a stretcher
ambulance;has loud sirens
ambulance;does go on roads
ambulance;does move
ambulance;has a bed_beds
ambulance;has a steering wheel
ambulance;has ambulance written backwards
ambulance;is a van
ambulance;is bright
ambulance;is green
ambulance;made of plastic
ambulance;made of rubber
anchor;is heavy
anchor;made of metal
anchor;does keep a ship in position
anchor;is found on boats_ships
anchor;does sink
anchor;has a chain
anchor;has a rope
anchor;does stop
anchor;is found in seas
anchor;has a point
anchor;does rust
anchor;has prongs
anchor;is a symbol
anchor;is strong
anchor;has two arms
anchor;is associated with navies
anchor;is big_large
anchor;is curved
anchor;is used by sailors
anchor;is useful
anchor;made of iron
ant;has legs
ant;is small
ant;is an insect
ant;has six legs
ant;does live in colonies
ant;is black
ant;is red
ant;has antenna
ant;is strong
ant;does nest
ant;does work
ant;does carry_transport
ant;does bite
ant;does crawl
ant;does eat
ant;has a body
ant;has a segmented body
ant;is an animal
ant;is social
ant;does eat leaves
ant;does carry twice its mass
ant;does fly
ant;does live underground
ant;has a queen
ant;does collect food
ant;does live in anthills
ant;does sting
ant;does work in teams
ant;has a head
ant;has an exoskeleton
ant;has mandibles
ant;is a hard worker
ant;is alive
ant;is brown
ant;is killed by ant poison
ant;does carry leaves
ant;has a job
ant;has a thorax
ant;has an abdomen
ant;has eyes
ant;has wings
ant;is a pest
ant;is an arthropod
ant;is eaten by anteaters
ant;is poisonous
ant;made of cells
apple;is a fruit
apple;does grow on trees
apple;is green
apple;is red
apple;has pips_seeds
apple;does grow
apple;has a stalk_stem
apple;is circular_round
apple;has a core
apple;is tasty
apple;has skin_peel
